iter	F1	Logloss
0	0.7333681389	0.6921044702
1	0.7315011561	0.6910648599
2	0.7320767006	0.6895610207
3	0.7330676585	0.688156744
4	0.7357099682	0.6870479603
5	0.7367833981	0.6859404261
6	0.7373437259	0.6842831216
7	0.7364050781	0.6829831458
8	0.7394577478	0.6817253089
9	0.7392980226	0.6804384483
10	0.7390984632	0.6789249816
11	0.7399279029	0.6776171137
12	0.7415238723	0.6760612607
13	0.7418024461	0.6747546817
14	0.741857774	0.6735510223
15	0.7414999707	0.6722720772
16	0.7410234362	0.6711704914
17	0.7409043983	0.6700546191
18	0.7403946685	0.6687747141
19	0.7405595347	0.6678060826
20	0.7399677258	0.6671514579
21	0.7400075529	0.6662611374
22	0.7400473844	0.6649080797
23	0.7400075529	0.6637385748
24	0.7399677258	0.6625606236
25	0.7409577902	0.6615112617
26	0.7409179453	0.660392875
27	0.7404231187	0.6590391312
28	0.7410773503	0.6577715796
29	0.7410374927	0.6566465447
30	0.7409179453	0.6556813387
31	0.7407984366	0.6546333271
32	0.7409976393	0.6538879414
33	0.7411570786	0.6530337227
34	0.7409976393	0.6520473997
35	0.7416757305	0.6513015002
36	0.7415958906	0.6500869809
37	0.7417955225	0.6490664911
38	0.7421703761	0.6479189588
39	0.74205059	0.6469985195
40	0.7421304431	0.6459326744
41	0.74205059	0.6447608731
42	0.7427844905	0.6437689266
43	0.7423301511	0.6428863064
44	0.7427844905	0.6418374269
45	0.7426646331	0.6407168984
46	0.7422103134	0.6398639656
47	0.74205059	0.6389247336
48	0.7419707541	0.6381530982
49	0.7424649566	0.6373399711
50	0.742838984	0.6362861558
51	0.7441182842	0.6354192512
52	0.7439186701	0.6344941674
53	0.7435059688	0.6338960865
54	0.7433463635	0.6330967881
55	0.7432525199	0.6323565144
56	0.7436656426	0.6316323451
57	0.7438787601	0.6307864866
58	0.7439585843	0.6300704698
59	0.7433862584	0.6293326554
60	0.7437590559	0.6284543245
61	0.7440516642	0.6276836008
62	0.7445034158	0.6268789509
63	0.7440915507	0.626300566
64	0.7436393902	0.6254279177
65	0.7436393902	0.6247007395
66	0.7442112358	0.6240605936
67	0.7435059688	0.6234972755
68	0.7436656426	0.6228372433
69	0.743466061	0.6221676673
70	0.7431327648	0.6216930975
71	0.7437455053	0.6210741751
72	0.7437055718	0.6203380901
73	0.7436257177	0.6197185117
74	0.7437590559	0.6189368459
75	0.7439585843	0.6183356713
76	0.7436792745	0.6177356835
77	0.7433463635	0.6171779934
78	0.7437455053	0.6167175542
79	0.7436656426	0.6158615489
80	0.7437455053	0.6155327147
81	0.7439851962	0.6151115049
82	0.7439052821	0.6145064029
83	0.7439052821	0.6139277808
84	0.7444378896	0.6133415296
85	0.7443180054	0.6126090559
86	0.7441981598	0.6120431495
87	0.7441182842	0.6115098613
88	0.744238104	0.6108566214
89	0.7441182842	0.6101113264
90	0.7452341509	0.6095646793
91	0.7457650197	0.6091708897
92	0.7457650197	0.6085983271
93	0.7456452126	0.6080261938
94	0.7451942259	0.6073613762
95	0.745685144	0.606784462
96	0.7456052855	0.6062999558
97	0.7454456196	0.605774963
98	0.7456452126	0.6054421865
99	0.745685144	0.6050116774
100	0.745685144	0.6045148553
101	0.7448626063	0.6041305512
102	0.7449824135	0.6038218155
103	0.7448626063	0.6033344638
104	0.7448626063	0.6027740842
105	0.7448226791	0.6022434455
106	0.7448226791	0.6017055121
107	0.7448226791	0.6011376489
108	0.7452740802	0.6006166431
109	0.7453539517	0.6002474401
110	0.7453539517	0.5996331814
111	0.7453938938	0.5992208688
112	0.7457650197	0.5987211156
113	0.745473791	0.598447858
114	0.7453539517	0.5980231628
115	0.7453539517	0.5976359126
116	0.7448626063	0.5972900871
117	0.7448626063	0.5967423099
118	0.7448626063	0.5962516707
119	0.7444107966	0.5958503476
120	0.7444507216	0.5955157583
121	0.7448226791	0.5950564825
122	0.7457650197	0.5945036651
123	0.7466258762	0.5940981273
124	0.7461357362	0.5936870328
125	0.7460957984	0.5932090648
126	0.7460558649	0.5927741079
127	0.7460159356	0.5923942123
128	0.7460558649	0.5920291485
129	0.7465459837	0.5914900142
130	0.7465060438	0.5910088036
131	0.7460957984	0.5907310879
132	0.7460957984	0.5902679582
133	0.7465060438	0.5899486782
134	0.7464661082	0.5896395883
135	0.7464661082	0.589291971
136	0.7469558229	0.588909638
137	0.746915881	0.5884263562
138	0.7468759434	0.5880597611
139	0.7459360899	0.5877938475
140	0.7460159356	0.5875499113
141	0.7455653626	0.5872401714
142	0.7455653626	0.5868080845
143	0.7460159356	0.5863475786
144	0.7465459837	0.5860787592
145	0.7460558649	0.5858430059
146	0.7456052855	0.5856136145
147	0.7456452126	0.5854013836
148	0.745685144	0.5850420672
149	0.745685144	0.5845696366
150	0.7461756782	0.5841746104
151	0.7461756782	0.5838619055
152	0.7466658289	0.5834537436
153	0.7467457471	0.5832042173
154	0.7467457471	0.5828917349
155	0.7462955301	0.5826436309
156	0.7462955301	0.5823606587
157	0.7463754527	0.5820916654
158	0.7464154205	0.5817481029
159	0.7468656565	0.581483673
160	0.7464154205	0.5812656673
161	0.7469456174	0.5809763709
162	0.7469456174	0.5806875336
163	0.7469856044	0.5803448169
164	0.7469856044	0.5800383254
165	0.7465353494	0.5798017521
166	0.7470255955	0.5794040162
167	0.7465753342	0.5791135895
168	0.7464953688	0.5788279919
169	0.7464953688	0.5785386981
170	0.7464553925	0.5781873173
171	0.7464553925	0.5779619698
172	0.7464953688	0.5776110446
173	0.7464953688	0.5773361014
174	0.7464553925	0.5770275648
175	0.7464953688	0.5768522996
176	0.7464553925	0.5766053888
177	0.7464154205	0.5763545591
178	0.7464154205	0.5761373547
179	0.7464154205	0.5758675735
180	0.7464553925	0.5756932678
181	0.7465753342	0.5755546826
182	0.7465753342	0.5753472489
183	0.7465753342	0.5751900116
184	0.7466553168	0.5749776612
185	0.7466553168	0.5747911333
186	0.7466153234	0.5745849465
187	0.7466153234	0.5743362119
188	0.7466153234	0.574108495
189	0.7466153234	0.5739035766
190	0.7465753342	0.5737470339
191	0.7466153234	0.5736374388
192	0.7465753342	0.5735419907
193	0.7465753342	0.5733736259
194	0.7466153234	0.5732351606
195	0.7465353494	0.5730873539
196	0.7465753342	0.572892692
197	0.7469856044	0.5727709806
198	0.7465353494	0.5725680876
199	0.7465753342	0.5724399424
200	0.7465753342	0.5722831713
201	0.7466153234	0.5719520037
202	0.7467353165	0.5717003051
203	0.7467753228	0.5715274106
204	0.7470955275	0.5713050003
205	0.7466047487	0.571024863
206	0.7467649115	0.5708777303
207	0.746644783	0.5707218753
208	0.7467649115	0.57049429
209	0.746804963	0.5703177922
210	0.7467649115	0.5701779611
211	0.7468450187	0.5700530763
212	0.7469251431	0.5698880952
213	0.7468850788	0.5696670808
214	0.7469251431	0.5696197118
215	0.7470052847	0.5694550299
216	0.7469251431	0.5694086338
217	0.7470453619	0.5693010454
218	0.7470453619	0.5690995141
219	0.7470453619	0.5687643474
