iter	Passed	Remaining
0	41	62588
1	81	60736
2	114	57177
3	150	56115
4	186	55617
5	221	55083
6	257	54949
7	278	51906
8	304	50517
9	342	51015
10	373	50605
11	399	49516
12	425	48708
13	451	47959
14	481	47682
15	509	47256
16	522	45613
17	542	44671
18	570	44455
19	595	44040
20	608	42830
21	632	42503
22	662	42529
23	693	42678
24	719	42423
25	748	42415
26	785	42843
27	817	42994
28	849	43070
29	881	43200
30	912	43233
31	946	43437
32	979	43556
33	1011	43626
34	1049	43937
35	1084	44112
36	1122	44365
37	1151	44301
38	1189	44555
39	1229	44871
40	1270	45216
41	1300	45136
42	1331	45111
43	1360	45031
44	1389	44940
45	1418	44851
46	1447	44737
47	1475	44645
48	1509	44692
49	1538	44621
50	1572	44674
51	1603	44659
52	1639	44753
53	1672	44784
54	1703	44767
55	1738	44818
56	1764	44677
57	1795	44634
58	1826	44613
59	1857	44582
60	1890	44597
61	1926	44685
62	1965	44824
63	2000	44896
64	2025	44716
65	2060	44775
66	2090	44703
67	2126	44773
68	2160	44798
69	2194	44827
70	2226	44814
71	2260	44838
72	2317	45297
73	2338	45065
74	2369	45016
75	2403	45030
76	2441	45121
77	2482	45250
78	2517	45279
79	2552	45308
80	2570	45029
81	2606	45071
82	2641	45100
83	2670	45014
84	2703	45001
85	2736	44993
86	2767	44951
87	2803	44978
88	2838	44998
89	2876	45060
90	2906	45001
91	2935	44929
92	2977	45053
93	3007	44984
94	3039	44957
95	3071	44919
96	3102	44870
97	3134	44844
98	3164	44789
99	3198	44780
100	3231	44755
101	3260	44687
102	3287	44591
103	3314	44494
104	3343	44422
105	3378	44436
106	3412	44424
107	3446	44420
108	3477	44373
109	3520	44481
110	3552	44457
111	3582	44391
112	3613	44348
113	3649	44366
114	3679	44313
115	3711	44283
116	3742	44242
117	3773	44194
118	3806	44175
119	3838	44147
120	3861	44004
121	3887	43908
122	3913	43817
123	3941	43740
124	3977	43752
125	4007	43703
126	4036	43633
127	4066	43590
128	4100	43577
129	4134	43569
130	4166	43537
131	4198	43510
132	4233	43515
133	4265	43479
134	4298	43463
135	4333	43461
136	4365	43428
137	4400	43426
138	4432	43399
139	4462	43345
140	4495	43333
141	4526	43290
142	4556	43241
143	4587	43203
144	4619	43168
145	4652	43144
146	4684	43117
147	4717	43091
148	4747	43049
149	4773	42963
150	4805	42929
151	4835	42885
152	4867	42855
153	4900	42827
154	4930	42780
